"n" "lower" "upper"
4 -0.876 2.232
5 -1.269 1.834
6 -1.478 1.999
7 -1.608 1.932
8 -1.663 1.975
9 -1.713 1.954
10 -1.733 1.975
11 -1.757 1.966
12 -1.765 1.979
13 -1.779 1.976
14 -1.783 1.985
15 -1.791 1.984
16 -1.793 1.99
17 -1.798 1.99
18 -1.799 1.996
19 -1.802 1.996
20 -1.803 2.001
21 -1.805 2.001
22 -1.804 2.005
23 -1.806 2.006
24 -1.806 2.009
25 -1.807 2.01
26 -1.807 2.013
27 -1.807 2.014
28 -1.807 2.017
29 -1.807 2.018
30 -1.807 2.02
31 -1.807 2.021
32 -1.806 2.023
33 -1.806 2.024
34 -1.806 2.026
35 -1.806 2.027
36 -1.805 2.029
37 -1.805 2.03
38 -1.804 2.031
39 -1.804 2.032
40 -1.804 2.033
41 -1.803 2.034
42 -1.803 2.036
43 -1.803 2.037
44 -1.802 2.038
45 -1.802 2.039
46 -1.801 2.04
47 -1.801 2.041
48 -1.8 2.042
49 -1.8 2.042
50 -1.8 2.044
51 -1.8 2.044
52 -1.8 2.045
53 -1.799 2.046
54 -1.799 2.047
55 -1.798 2.048
56 -1.798 2.049
57 -1.797 2.049
58 -1.797 2.05
59 -1.796 2.051
60 -1.796 2.052
61 -1.795 2.052
62 -1.795 2.053
63 -1.794 2.054
64 -1.794 2.054
65 -1.793 2.055
66 -1.793 2.056
67 -1.792 2.056
68 -1.792 2.057
69 -1.792 2.058
70 -1.791 2.058
71 -1.791 2.059
72 -1.79 2.06
73 -1.79 2.06
74 -1.79 2.061
75 -1.789 2.061
76 -1.789 2.062
77 -1.788 2.062
78 -1.788 2.063
79 -1.788 2.063
80 -1.787 2.064
81 -1.787 2.065
82 -1.787 2.065
83 -1.786 2.066
84 -1.786 2.066
85 -1.786 2.067
86 -1.785 2.067
87 -1.785 2.068
88 -1.785 2.068
89 -1.784 2.068
90 -1.784 2.069
91 -1.784 2.069
92 -1.783 2.07
93 -1.783 2.07
94 -1.783 2.071
95 -1.782 2.071
96 -1.782 2.072
97 -1.782 2.072
98 -1.781 2.072
99 -1.781 2.073
100 -1.781 2.073
101 -1.781 2.074
102 -1.78 2.074
103 -1.78 2.074
104 -1.78 2.075
105 -1.779 2.075
106 -1.779 2.076
107 -1.779 2.076
108 -1.779 2.076
109 -1.778 2.077
110 -1.778 2.077
111 -1.778 2.077
112 -1.778 2.078
113 -1.777 2.078
114 -1.777 2.078
115 -1.777 2.079
116 -1.777 2.079
117 -1.776 2.079
118 -1.776 2.08
119 -1.776 2.08
120 -1.776 2.08
121 -1.775 2.081
122 -1.775 2.081
123 -1.775 2.081
124 -1.775 2.082
125 -1.774 2.082
126 -1.774 2.082
127 -1.774 2.083
128 -1.774 2.083
129 -1.773 2.083
130 -1.773 2.084
131 -1.773 2.084
132 -1.773 2.084
133 -1.773 2.084
134 -1.772 2.085
135 -1.772 2.085
136 -1.772 2.085
137 -1.772 2.086
138 -1.771 2.086
139 -1.771 2.086
140 -1.771 2.086
141 -1.771 2.087
142 -1.771 2.087
143 -1.77 2.087
144 -1.77 2.087
145 -1.77 2.088
146 -1.77 2.088
147 -1.77 2.088
148 -1.769 2.088
149 -1.769 2.089
150 -1.769 2.089
151 -1.769 2.089
152 -1.769 2.089
153 -1.768 2.09
154 -1.768 2.09
155 -1.768 2.09
156 -1.768 2.09
157 -1.768 2.091
158 -1.768 2.091
159 -1.767 2.091
160 -1.767 2.091
161 -1.767 2.092
162 -1.767 2.092
163 -1.767 2.092
164 -1.766 2.092
165 -1.766 2.093
166 -1.766 2.093
167 -1.766 2.093
168 -1.766 2.093
169 -1.766 2.093
170 -1.765 2.094
171 -1.765 2.094
172 -1.765 2.094
173 -1.765 2.094
174 -1.765 2.095
175 -1.765 2.095
176 -1.764 2.095
177 -1.764 2.095
178 -1.764 2.095
179 -1.764 2.096
180 -1.764 2.096
181 -1.764 2.096
182 -1.763 2.096
183 -1.763 2.096
184 -1.763 2.097
185 -1.763 2.097
186 -1.763 2.097
187 -1.763 2.097
188 -1.763 2.097
189 -1.762 2.098
190 -1.762 2.098
191 -1.762 2.098
192 -1.762 2.098
193 -1.762 2.098
194 -1.762 2.098
195 -1.761 2.099
196 -1.761 2.099
197 -1.761 2.099
198 -1.761 2.099
199 -1.761 2.099
200 -1.761 2.1
201 -1.761 2.1
202 -1.76 2.1
203 -1.76 2.1
204 -1.76 2.1
205 -1.76 2.1
206 -1.76 2.101
207 -1.76 2.101
208 -1.76 2.101
209 -1.759 2.101
210 -1.759 2.101
211 -1.759 2.101
212 -1.759 2.102
213 -1.759 2.102
214 -1.759 2.102
215 -1.759 2.102
216 -1.758 2.102
217 -1.758 2.102
218 -1.758 2.103
219 -1.758 2.103
220 -1.758 2.103
221 -1.758 2.103
222 -1.758 2.103
223 -1.758 2.103
224 -1.757 2.104
225 -1.757 2.104
226 -1.757 2.104
227 -1.757 2.104
228 -1.757 2.104
229 -1.757 2.104
230 -1.757 2.104
231 -1.757 2.105
232 -1.756 2.105
233 -1.756 2.105
234 -1.756 2.105
235 -1.756 2.105
236 -1.756 2.105
237 -1.756 2.106
238 -1.756 2.106
239 -1.756 2.106
240 -1.755 2.106
241 -1.755 2.106
242 -1.755 2.106
243 -1.755 2.106
244 -1.755 2.107
245 -1.755 2.107
246 -1.755 2.107
247 -1.755 2.107
248 -1.754 2.107
249 -1.754 2.107
250 -1.754 2.107
251 -1.754 2.108
252 -1.754 2.108
253 -1.754 2.108
254 -1.754 2.108
255 -1.754 2.108
256 -1.754 2.108
257 -1.753 2.108
